lat	lon	value	color
44.70917212	-95.79268818	2	#73A7CC
44.74365856	-95.79258221	0	#A9AE85
44.77814767	-95.79247612	0	#A9AE85
44.81263947	-95.79236993	0	#A9AE85
44.84713396	-95.79226362	0	#A9AE85
44.88163117	-95.79215721	0	#A9AE85
44.91613112	-95.79205069	0	#A9AE85
44.95063382	-95.79194406	0	#A9AE85
44.9851393	-95.79183732	2	#73A7CC
45.01964756	-95.79173047	1	#729565
45.05415862	-95.79162351	0	#A9AE85
45.08867252	-95.79151644	0	#A9AE85
45.12318925	-95.79140926	2	#73A7CC
45.15770885	-95.79130197	0	#A9AE85
45.19223132	-95.79119457	0	#A9AE85
45.22675669	-95.79108706	2	#73A7CC
45.26128497	-95.79097944	0	#A9AE85
45.29581619	-95.79087171	0	#A9AE85
45.33035036	-95.79076387	0	#A9AE85
45.3648875	-95.79065591	0	#A9AE85
45.39942762	-95.79054785	0	#A9AE85
45.43397075	-95.79043967	0	#A9AE85
45.46851691	-95.79033138	0	#A9AE85
45.50306611	-95.79022298	0	#A9AE85
45.53761836	-95.79011446	2	#73A7CC
45.5721737	-95.79000584	0	#A9AE85
45.60673214	-95.7898971	0	#A9AE85
45.64129369	-95.78978825	0	#A9AE85
45.67585838	-95.78967928	0	#A9AE85
45.71042622	-95.78957021	0	#A9AE85
45.74499723	-95.78946102	2	#73A7CC
45.77957144	-95.78935171	0	#A9AE85
45.81414885	-95.7892423	0	#A9AE85
45.84872949	-95.78913277	1	#729565
45.88331339	-95.78902312	0	#A9AE85
45.91790055	-95.78891336	2	#73A7CC
45.95249099	-95.78880349	0	#A9AE85
45.98708474	-95.7886935	1	#729565
46.02168181	-95.7885834	2	#73A7CC
46.05628223	-95.78847318	0	#A9AE85
46.09088601	-95.78836285	0	#A9AE85
46.12549317	-95.7882524	0	#A9AE85
46.16010373	-95.78814184	2	#73A7CC
46.19471772	-95.78803116	2	#73A7CC
46.22933514	-95.78792037	2	#73A7CC
46.26395602	-95.78780946	0	#A9AE85
46.29858038	-95.78769843	2	#73A7CC
46.33320824	-95.78758729	0	#A9AE85
46.36783961	-95.78747603	1	#729565
46.40247453	-95.78736466	0	#A9AE85
46.437113	-95.78725317	1	#729565
46.47175504	-95.78714156	2	#73A7CC
46.50640069	-95.78702983	2	#73A7CC
46.54104995	-95.78691799	2	#73A7CC
46.57570284	-95.78680603	2	#73A7CC
44.22654862	-95.74594954	2	#73A7CC
44.26099952	-95.7458206	0	#A9AE85
44.29545285	-95.74569152	0	#A9AE85
44.32990863	-95.74556231	0	#A9AE85
44.36436685	-95.74543297	2	#73A7CC
44.39882756	-95.74530349	2	#73A7CC
44.43329075	-95.74517389	0	#A9AE85
44.46775645	-95.74504415	2	#73A7CC
44.50222468	-95.74491429	0	#A9AE85
44.53669546	-95.74478429	0	#A9AE85
44.57116879	-95.74465415	0	#A9AE85
44.6056447	-95.74452389	0	#A9AE85
44.64012321	-95.74439349	0	#A9AE85
44.67460433	-95.74426296	0	#A9AE85
44.70908808	-95.74413229	0	#A9AE85
44.74357447	-95.74400149	0	#A9AE85
44.77806354	-95.74387056	2	#73A7CC
44.81255528	-95.74373949	2	#73A7CC
44.84704973	-95.74360829	0	#A9AE85
44.88154689	-95.74347696	0	#A9AE85
44.91604679	-95.74334549	0	#A9AE85
44.95054944	-95.74321388	2	#73A7CC
44.98505486	-95.74308214	0	#A9AE85
45.01956307	-95.74295027	0	#A9AE85
45.05407409	-95.74281825	0	#A9AE85
45.08858793	-95.74268611	0	#A9AE85
45.12310461	-95.74255383	2	#73A7CC
45.15762416	-95.74242141	2	#73A7CC
45.19214658	-95.74228885	0	#A9AE85
45.2266719	-95.74215616	0	#A9AE85
45.26120013	-95.74202333	0	#A9AE85
45.2957313	-95.74189037	0	#A9AE85
45.33026542	-95.74175727	0	#A9AE85
45.3648025	-95.74162403	0	#A9AE85
45.39934258	-95.74149065	0	#A9AE85
45.43388566	-95.74135714	0	#A9AE85
45.46843176	-95.74122349	0	#A9AE85
45.50298091	-95.74108969	0	#A9AE85
45.53753311	-95.74095577	2	#73A7CC
45.5720884	-95.7408217	0	#A9AE85
45.60664678	-95.74068749	2	#73A7CC
45.64120828	-95.74055315	0	#A9AE85
45.67577292	-95.74041866	0	#A9AE85
45.71034071	-95.74028404	0	#A9AE85
45.74491167	-95.74014927	1	#729565
45.77948582	-95.74001437	0	#A9AE85
45.81406318	-95.73987932	0	#A9AE85
45.84864377	-95.73974414	0	#A9AE85
45.88322761	-95.73960881	2	#73A7CC
45.91781472	-95.73947335	0	#A9AE85
45.95240511	-95.73933774	0	#A9AE85
45.98699881	-95.73920199	0	#A9AE85
46.02159583	-95.7390661	2	#73A7CC
46.05619619	-95.73893007	2	#73A7CC
46.09079992	-95.7387939	2	#73A7CC
46.12540703	-95.73865758	2	#73A7CC
46.16001754	-95.73852113	0	#A9AE85
46.19463147	-95.73838453	0	#A9AE85
46.22924883	-95.73824778	2	#73A7CC
46.26386966	-95.7381109	2	#73A7CC
46.29849397	-95.73797387	2	#73A7CC
46.33312177	-95.7378367	2	#73A7CC
46.36775309	-95.73769938	1	#729565
46.40238795	-95.73756192	2	#73A7CC
46.43702637	-95.73742431	0	#A9AE85
46.47166836	-95.73728656	2	#73A7CC
46.50631395	-95.73714867	2	#73A7CC
46.54096315	-95.73701063	2	#73A7CC
46.57561599	-95.73687245	2	#73A7CC
43.50351011	-95.70092482	0	#A9AE85
43.53791392	-95.70077462	0	#A9AE85
43.57231981	-95.70062427	0	#A9AE85
43.60672779	-95.70047377	0	#A9AE85
43.64113788	-95.70032311	0	#A9AE85
43.67555009	-95.70017231	0	#A9AE85
43.70996444	-95.70002135	0	#A9AE85
43.74438095	-95.69987025	0	#A9AE85
43.77879963	-95.69971899	0	#A9AE85
43.81322051	-95.69956757	0	#A9AE85
43.84764358	-95.69941601	0	#A9AE85
43.88206889	-95.69926429	0	#A9AE85
43.91649642	-95.69911242	0	#A9AE85
43.95092622	-95.69896039	2	#73A7CC
43.98535829	-95.69880821	0	#A9AE85
44.01979264	-95.69865588	2	#73A7CC
44.05422931	-95.69850339	0	#A9AE85
44.08866829	-95.69835075	2	#73A7CC
44.12310961	-95.69819795	0	#A9AE85
44.15755329	-95.698045	0	#A9AE85
44.19199934	-95.6978919	0	#A9AE85
44.22644779	-95.69773864	2	#73A7CC
44.26089863	-95.69758522	2	#73A7CC
44.29535191	-95.69743165	2	#73A7CC
44.32980762	-95.69727792	2	#73A7CC
44.36426579	-95.69712403	2	#73A7CC
44.39872643	-95.69696999	0	#A9AE85
44.43318957	-95.69681579	2	#73A7CC
44.46765521	-95.69666144	2	#73A7CC
44.50212338	-95.69650692	0	#A9AE85
44.5365941	-95.69635225	0	#A9AE85
44.57106737	-95.69619742	0	#A9AE85
44.60554322	-95.69604244	0	#A9AE85
44.64002167	-95.69588729	0	#A9AE85
44.67450273	-95.69573199	2	#73A7CC
44.70898642	-95.69557653	0	#A9AE85
44.74347276	-95.69542091	0	#A9AE85
44.77796176	-95.69526513	0	#A9AE85
44.81245344	-95.69510919	0	#A9AE85
44.84694783	-95.69495309	0	#A9AE85
44.88144493	-95.69479683	0	#A9AE85
44.91594477	-95.69464042	0	#A9AE85
44.95044736	-95.69448384	0	#A9AE85
44.98495272	-95.6943271	0	#A9AE85
45.01946087	-95.6941702	2	#73A7CC
45.05397183	-95.69401313	0	#A9AE85
45.08848561	-95.69385591	0	#A9AE85
45.12300223	-95.69369853	0	#A9AE85
45.15752171	-95.69354098	0	#A9AE85
45.19204408	-95.69338327	0	#A9AE85
45.22656933	-95.6932254	2	#73A7CC
45.26109751	-95.69306736	0	#A9AE85
45.29562861	-95.69290917	0	#A9AE85
