id,is_observed,obs,dur,dist,is_train
1373,t,0.0,0.1,0.0,t
1374,t,0.1,0.1,0.0,t
1375,t,0.0,0.2,0.0,t
1376,f,0,0,0,t
1377,f,0,0,0,t
1378,t,0.0,0.6,0.1,t
1379,t,0.1,0.1,0.0,t
1380,t,0.0,0.0,0.0,t
1381,f,0,0,0,t
1382,f,0,0,0,t
1383,f,0,0,0,t
1384,t,0.0,0.0,0.0,t
1385,t,0.0,0.0,0.0,t
1386,t,0.0,0.0,0.1,t
1387,t,0.0,0.0,0.0,t
1388,f,0,0,0,t
1389,t,0.0,0.0,0.0,t
1390,f,0,0,0,t
1391,f,0,0,0,t
1392,f,0,0,0,t
1393,t,0.0,0.0,0.0,t
1394,f,0,0,0,t
1395,t,0.0,0.0,0.0,t
1396,t,0.0,0.0,0.0,t
1397,f,0,0,0,t
1398,t,0.0,0.0,0.0,t
1399,t,0.0,0.1,0.0,t
1400,f,0,0,0,t
1401,t,0.0,0.1,0.2,t
1402,t,0.0,0.2,0.1,t
1407,f,0,0,0,t
1408,t,0.0,0.0,0.0,t
1409,f,0,0,0,t
1410,f,0,0,0,t
1411,t,0.0,0.0,0.0,t
1412,t,0.0,0.1,0.0,t
1413,f,0,0,0,t
1414,f,0,0,0,t
1415,t,0.0,0.0,0.0,t
1416,t,0.0,0.0,0.0,t
1417,f,0,0,0,t
1418,f,0,0,0,t
1419,t,0.0,0.1,0.0,t
1420,t,0.0,0.0,0.0,t
1421,t,0.0,0.2,0.3,t
1422,t,0.0,0.1,0.1,t
1423,t,0.0,0.0,0.0,t
1424,t,0.0,0.0,0.0,t
1425,t,0.0,0.0,0.0,t
1426,f,0,0,0,t
1427,t,0.0,0.1,0.0,t
1428,t,0.0,0.0,0.0,t
1429,t,0.0,0.0,0.0,t
1430,t,0.0,0.1,0.0,t
1431,f,0,0,0,t
1432,t,0.0,0.1,0.0,t
1433,f,0,0,0,t
1434,f,0,0,0,t
1435,f,0,0,0,t
1436,f,0,0,0,t
1437,t,0.0,0.0,0.0,t
1438,t,0.0,0.0,0.0,t
1439,t,0.0,0.0,0.0,t
1440,f,0,0,0,t
1441,t,0.0,0.0,0.0,t
1442,t,0.0,0.0,0.0,t
1443,t,0.0,0.0,0.0,t
1444,t,0.0,0.2,0.0,t
1445,f,0,0,0,t
1446,t,0.1,0.1,0.0,t
1447,t,0.1,0.1,0.0,t
1448,t,0.1,0.1,0.0,t
1449,t,0.0,0.0,0.0,t
1450,t,0.1,0.1,0.0,t
1451,t,0.1,0.1,0.0,t
1452,t,0.0,0.1,0.0,t
1453,t,0.2,0.1,0.0,t
1454,t,0.0,0.1,0.0,t
1455,t,0.0,0.0,0.0,t
1456,f,0,0,0,t
