id,val,dem,slp,dist,st_asewkt
17,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0110858946904 44.0717910689711,-95.9629843872294 44.0717863706225,-95.9630031133788 44.0373483578339,-96.0110802863504 44.0373530534889,-96.0110858946904 44.0717910689711))"
18,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0110915087106 44.1062314155148,-95.9629656421137 44.1062267144677,-95.9629843872294 44.0717863706225,-96.0110858946904 44.0717910689711,-96.0110915087106 44.1062314155148))"
19,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0110971284197 44.1406741099039,-95.9629468780029 44.140669406153,-95.9629656421137 44.1062267144677,-96.0110915087106 44.1062314155148,-96.0110971284197 44.1406741099039))"
20,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0111027538263 44.1751191689593,-95.9629280948681 44.1751144624998,-95.9629468780029 44.140669406153,-96.0110971284197 44.1406741099039,-96.0111027538263 44.1751191689593))"
21,11,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0111083849391 44.2095666095401,-95.9629092926804 44.2095619003669,-95.9629280948681 44.1751144624998,-96.0111027538263 44.1751191689593,-96.0111083849391 44.2095666095401))"
22,82,0.8,0.1,0.0,"SRID=4326;POLYGON((-96.0111140217668 44.2440164485433,-95.9628904714108 44.2440117366511,-95.9629092926804 44.2095619003669,-96.0111083849391 44.2095666095401,-96.0111140217668 44.2440164485433))"
23,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0111196643182 44.2784687029036,-95.9628716310302 44.2784639882876,-95.9628904714108 44.2440117366511,-96.0111140217668 44.2440164485433,-96.0111196643182 44.2784687029036))"
24,82,0.7,0.2,0.0,"SRID=4326;POLYGON((-96.0111253126018 44.3129233895946,-95.9628527715095 44.3129186722495,-95.9628716310302 44.2784639882876,-96.0111196643182 44.2784687029036,-96.0111253126018 44.3129233895946))"
25,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.0111309666265 44.3473805256276,-95.9628338928195 44.3473758055485,-95.9628527715095 44.3129186722495,-96.0111253126018 44.3129233895946,-96.0111309666265 44.3473805256276))"
26,82,0.7,0.1,0.0,"SRID=4326;POLYGON((-96.011136626401 44.3818401280531,-95.9628149949309 44.3818354052348,-95.9628338928195 44.3473758055485,-96.0111309666265 44.3473805256276,-96.011136626401 44.3818401280531))"
27,11,0.6,0.2,0.0,"SRID=4326;POLYGON((-96.0111422919341 44.4163022139601,-95.9627960778146 44.4162974883975,-95.9628149949309 44.3818354052348,-96.011136626401 44.3818401280531,-96.0111422919341 44.4163022139601))"
28,81,0.6,0.2,0.0,"SRID=4326;POLYGON((-96.0111479632346 44.4507668004767,-95.962777141441 44.4507620721646,-95.9627960778146 44.4162974883975,-96.0111422919341 44.4163022139601,-96.0111479632346 44.4507668004767))"
